image_name,venus,jupiter,saturn,apollo,mercury,luna,mars,heart_center
Hand_0000039.jpg,0.051,0.101,0.089,0.227,0.233,0.056,0.279,0.179
Hand_0000040.jpg,0.051,0.101,0.088,0.321,0.202,0.056,0.374,0.209
Hand_0000041.jpg,0.051,0.101,0.088,0.313,0.196,0.056,0.386,0.19
Hand_0000042.jpg,0.051,0.101,0.088,0.289,0.203,0.056,0.398,0.167
Hand_0000043.jpg,0.051,0.101,0.088,0.303,0.151,0.056,0.426,0.175
Hand_0000044.jpg,0.051,0.101,0.088,0.335,0.107,0.056,0.438,0.178
Hand_0000045.jpg,0.051,0.101,0.089,0.349,0.107,0.056,0.457,0.163
Hand_0000046.jpg,0.051,0.101,0.089,0.288,0.107,0.056,0.457,0.153
Hand_0000047.jpg,0.051,0.101,0.088,0.278,0.121,0.056,0.414,0.151
Hand_0000048.jpg,0.054,0.101,0.095,0.236,0.107,0.056,0.46,0.201
Hand_0000049.jpg,0.054,0.101,0.108,0.184,0.107,0.056,0.476,0.155
Hand_0000050.jpg,0.055,0.101,0.092,0.18,0.107,0.056,0.426,0.176
Hand_0000051.jpg,0.057,0.101,0.093,0.203,0.107,0.056,0.407,0.203
Hand_0000052.jpg,0.056,0.101,0.089,0.211,0.107,0.056,0.368,0.207
Hand_0000053.jpg,0.053,0.101,0.091,0.22,0.107,0.056,0.372,0.188
Hand_0000054.jpg,0.052,0.101,0.088,0.242,0.107,0.056,0.377,0.198
Hand_0000055.jpg,0.051,0.101,0.088,0.252,0.242,0.056,0.275,0.181
Hand_0000056.jpg,0.051,0.101,0.088,0.238,0.268,0.061,0.254,0.187
Hand_0000057.jpg,0.051,0.101,0.141,0.192,0.25,0.069,0.278,0.196
Hand_0000058.jpg,0.051,0.101,0.112,0.193,0.261,0.067,0.255,0.186
Hand_0000059.jpg,0.051,0.101,0.092,0.353,0.107,0.056,0.365,0.209
Hand_0000060.jpg,0.051,0.101,0.093,0.218,0.107,0.056,0.369,0.186
Hand_0000061.jpg,0.051,0.101,0.092,0.196,0.107,0.056,0.364,0.184
Hand_0000062.jpg,0.067,0.101,0.089,0.188,0.107,0.056,0.312,0.188
Hand_0000063.jpg,0.07,0.101,0.088,0.177,0.107,0.056,0.285,0.185
Hand_0000064.jpg,0.071,0.101,0.088,0.172,0.107,0.056,0.28,0.153
Hand_0000065.jpg,0.072,0.101,0.089,0.167,0.107,0.056,0.262,0.152
Hand_0000066.jpg,0.069,0.101,0.095,0.138,0.107,0.056,0.233,0.193
Hand_0000067.jpg,0.064,0.101,0.095,0.15,0.107,0.056,0.239,0.186
Hand_0000068.jpg,0.096,0.101,0.101,0.148,0.107,0.056,0.254,0.176
Hand_0000069.jpg,0.108,0.101,0.095,0.147,0.107,0.056,0.248,0.179
Hand_0000070.jpg,0.051,0.101,0.109,0.169,0.107,0.056,0.337,0.247
Hand_0000071.jpg,0.051,0.101,0.11,0.19,0.107,0.057,0.351,0.245
Hand_0000072.jpg,0.051,0.101,0.107,0.193,0.107,0.056,0.321,0.258
Hand_0000073.jpg,0.051,0.101,0.105,0.197,0.107,0.056,0.325,0.226
Hand_0000074.jpg,0.051,0.102,0.105,0.191,0.107,0.056,0.331,0.231
Hand_0000075.jpg,0.051,0.136,0.108,0.196,0.107,0.056,0.338,0.198
Hand_0000076.jpg,0.051,0.101,0.099,0.199,0.107,0.056,0.404,0.228
Hand_0000077.jpg,0.055,0.117,0.107,0.194,0.107,0.056,0.323,0.231
Hand_0000078.jpg,0.057,0.13,0.104,0.195,0.107,0.056,0.337,0.224
Hand_0000079.jpg,0.051,0.159,0.107,0.192,0.107,0.056,0.386,0.223
Hand_0000080.jpg,0.051,0.101,0.127,0.198,0.107,0.056,0.408,0.193
Hand_0000081.jpg,0.051,0.101,0.154,0.209,0.107,0.073,0.367,0.183
Hand_0000082.jpg,0.051,0.101,0.135,0.153,0.109,0.099,0.456,0.209
Hand_0000083.jpg,0.051,0.101,0.145,0.166,0.107,0.098,0.363,0.199
Hand_0000084.jpg,0.051,0.101,0.14,0.202,0.107,0.095,0.372,0.185
Hand_0000085.jpg,0.051,0.101,0.204,0.277,0.107,0.065,0.331,0.283
Hand_0000086.jpg,0.051,0.101,0.204,0.282,0.107,0.056,0.39,0.286
Hand_0000087.jpg,0.051,0.13,0.163,0.262,0.107,0.056,0.403,0.285
Hand_0000088.jpg,0.051,0.155,0.13,0.262,0.107,0.063,0.367,0.266
Hand_0000089.jpg,0.051,0.207,0.093,0.217,0.107,0.067,0.405,0.198
Hand_0000090.jpg,0.051,0.21,0.118,0.237,0.107,0.056,0.439,0.196
Hand_0000091.jpg,0.051,0.101,0.229,0.14,0.204,0.066,0.277,0.285
Hand_0000092.jpg,0.051,0.101,0.166,0.134,0.134,0.126,0.329,0.267
Hand_0000093.jpg,0.051,0.101,0.174,0.126,0.146,0.176,0.314,0.255
Hand_0000094.jpg,0.051,0.101,0.157,0.115,0.155,0.183,0.296,0.254
Hand_0000095.jpg,0.051,0.101,0.192,0.132,0.151,0.169,0.305,0.27
Hand_0000096.jpg,0.064,0.101,0.209,0.148,0.123,0.07,0.235,0.252
Hand_0000097.jpg,0.051,0.101,0.145,0.101,0.245,0.114,0.251,0.235
Hand_0000100.jpg,0.051,0.101,0.146,0.21,0.107,0.065,0.309,0.122
Hand_0000101.jpg,0.051,0.101,0.232,0.238,0.107,0.056,0.251,0.122
Hand_0000102.jpg,0.051,0.101,0.213,0.252,0.107,0.059,0.253,0.123
Hand_0000103.jpg,0.051,0.101,0.2,0.293,0.107,0.151,0.215,0.124
Hand_0000104.jpg,0.051,0.101,0.152,0.291,0.107,0.177,0.238,0.122
Hand_0000105.jpg,0.051,0.101,0.148,0.162,0.141,0.191,0.292,0.133
Hand_0000106.jpg,0.051,0.101,0.149,0.167,0.153,0.192,0.223,0.124
Hand_0000107.jpg,0.051,0.101,0.193,0.3,0.107,0.192,0.21,0.13
Hand_0000108.jpg,0.051,0.101,0.162,0.339,0.107,0.056,0.396,0.331
Hand_0000109.jpg,0.051,0.101,0.126,0.324,0.107,0.056,0.396,0.304
Hand_0000111.jpg,0.051,0.101,0.128,0.335,0.107,0.056,0.4,0.316
Hand_0000112.jpg,0.051,0.101,0.106,0.306,0.107,0.056,0.34,0.294
Hand_0000113.jpg,0.051,0.302,0.096,0.101,0.107,0.056,0.346,0.219
Hand_0000114.jpg,0.051,0.313,0.09,0.101,0.107,0.056,0.371,0.28
Hand_0000115.jpg,0.051,0.306,0.089,0.101,0.107,0.056,0.379,0.314
Hand_0000116.jpg,0.058,0.262,0.092,0.101,0.107,0.056,0.28,0.25
Hand_0000117.jpg,0.051,0.244,0.103,0.101,0.107,0.056,0.425,0.223
Hand_0000118.jpg,0.051,0.232,0.113,0.101,0.107,0.056,0.424,0.207
Hand_0000122.jpg,0.051,0.101,0.158,0.279,0.601,0.087,0.258,0.183
Hand_0000123.jpg,0.051,0.101,0.168,0.184,0.651,0.105,0.266,0.205
Hand_0000124.jpg,0.051,0.101,0.141,0.103,0.107,0.072,0.35,0.148
Hand_0000125.jpg,0.051,0.101,0.141,0.104,0.107,0.079,0.306,0.132
Hand_0000132.jpg,0.051,0.101,0.1,0.316,0.115,0.056,0.361,0.355
Hand_0000133.jpg,0.051,0.101,0.088,0.169,0.107,0.056,0.391,0.154
Hand_0000134.jpg,0.051,0.101,0.091,0.12,0.107,0.056,0.49,0.221
Hand_0000135.jpg,0.051,0.101,0.107,0.153,0.107,0.056,0.498,0.18
Hand_0000140.jpg,0.051,0.158,0.091,0.198,0.107,0.056,0.368,0.217
Hand_0000141.jpg,0.051,0.175,0.088,0.199,0.107,0.056,0.363,0.237
Hand_0000142.jpg,0.051,0.199,0.088,0.148,0.107,0.056,0.348,0.209
Hand_0000143.jpg,0.051,0.22,0.093,0.124,0.107,0.056,0.395,0.243
Hand_0000144.jpg,0.051,0.101,0.147,0.118,0.107,0.097,0.201,0.178
Hand_0000145.jpg,0.051,0.101,0.154,0.115,0.107,0.1,0.22,0.17
Hand_0000146.jpg,0.051,0.101,0.149,0.172,0.107,0.083,0.294,0.147
Hand_0000147.jpg,0.051,0.101,0.151,0.173,0.107,0.083,0.295,0.148
Hand_0000148.jpg,0.051,0.101,0.141,0.117,0.288,0.138,0.242,0.125
Hand_0000153.jpg,0.057,0.179,0.093,0.259,0.107,0.056,0.415,0.173
Hand_0000156.jpg,0.051,0.101,0.159,0.159,0.107,0.076,0.272,0.182
Hand_0000157.jpg,0.051,0.101,0.153,0.125,0.107,0.085,0.314,0.159
Hand_0000158.jpg,0.051,0.101,0.16,0.101,0.125,0.097,0.274,0.181
Hand_0000159.jpg,0.051,0.101,0.17,0.101,0.204,0.144,0.25,0.167
Hand_0000160.jpg,0.051,0.101,0.16,0.101,0.175,0.129,0.276,0.179
Hand_0000161.jpg,0.051,0.101,0.142,0.101,0.217,0.102,0.208,0.118
Hand_0000162.jpg,0.051,0.101,0.152,0.104,0.153,0.132,0.255,0.125
Hand_0000163.jpg,0.051,0.101,0.146,0.117,0.205,0.122,0.265,0.126
Hand_0000164.jpg,0.051,0.101,0.121,0.101,0.187,0.181,0.237,0.127
Hand_0000165.jpg,0.051,0.101,0.128,0.104,0.189,0.139,0.253,0.127
Hand_0000166.jpg,0.051,0.101,0.102,0.269,0.198,0.056,0.432,0.326
Hand_0000167.jpg,0.051,0.101,0.108,0.269,0.19,0.056,0.395,0.337
Hand_0000169.jpg,0.073,0.101,0.088,0.192,0.107,0.056,0.243,0.151
Hand_0000170.jpg,0.067,0.101,0.088,0.183,0.107,0.056,0.254,0.17
Hand_0000171.jpg,0.051,0.219,0.094,0.196,0.107,0.083,0.329,0.139
Hand_0000173.jpg,0.064,0.158,0.099,0.101,0.107,0.056,0.288,0.174
Hand_0000174.jpg,0.073,0.178,0.102,0.101,0.107,0.056,0.306,0.16
Hand_0000175.jpg,0.077,0.189,0.108,0.101,0.107,0.056,0.312,0.139
Hand_0000176.jpg,0.086,0.175,0.146,0.101,0.107,0.057,0.331,0.184
Hand_0000177.jpg,0.086,0.161,0.131,0.101,0.107,0.056,0.351,0.205
Hand_0000178.jpg,0.051,0.101,0.115,0.207,0.107,0.056,0.345,0.175
Hand_0000179.jpg,0.051,0.101,0.104,0.109,0.107,0.056,0.245,0.181
Hand_0000180.jpg,0.051,0.101,0.094,0.117,0.107,0.056,0.252,0.162
Hand_0000182.jpg,0.052,0.101,0.088,0.13,0.107,0.056,0.18,0.161
Hand_0000183.jpg,0.059,0.101,0.088,0.126,0.107,0.056,0.154,0.147
Hand_0000184.jpg,0.051,0.107,0.093,0.166,0.107,0.056,0.295,0.185
Hand_0000185.jpg,0.051,0.101,0.147,0.162,0.107,0.056,0.217,0.205
Hand_0000186.jpg,0.051,0.101,0.223,0.163,0.107,0.058,0.248,0.163
Hand_0000187.jpg,0.051,0.101,0.169,0.164,0.107,0.056,0.215,0.153
Hand_0000195.jpg,0.051,0.101,0.148,0.155,0.119,0.061,0.273,0.177
Hand_0000196.jpg,0.051,0.101,0.152,0.142,0.132,0.066,0.288,0.175
Hand_0000197.jpg,0.051,0.101,0.152,0.136,0.13,0.133,0.223,0.177
Hand_0000198.jpg,0.051,0.101,0.153,0.113,0.14,0.139,0.235,0.165
Hand_0000199.jpg,0.051,0.101,0.088,0.173,0.4,0.154,0.29,0.121
Hand_0000200.jpg,0.051,0.101,0.103,0.13,0.318,0.133,0.374,0.122
Hand_0000201.jpg,0.051,0.101,0.111,0.209,0.259,0.087,0.257,0.125
Hand_0000202.jpg,0.051,0.101,0.088,0.148,0.304,0.131,0.221,0.123
Hand_0000203.jpg,0.051,0.167,0.162,0.174,0.107,0.056,0.355,0.32
Hand_0000204.jpg,0.051,0.223,0.161,0.187,0.107,0.056,0.406,0.329
Hand_0000205.jpg,0.051,0.255,0.131,0.184,0.107,0.056,0.432,0.348
Hand_0000206.jpg,0.053,0.259,0.152,0.176,0.107,0.056,0.374,0.26
Hand_0000207.jpg,0.055,0.27,0.156,0.18,0.107,0.056,0.362,0.228
Hand_0000208.jpg,0.056,0.244,0.157,0.198,0.107,0.056,0.317,0.176
Hand_0000209.jpg,0.051,0.282,0.145,0.176,0.107,0.056,0.41,0.199
Hand_0000210.jpg,0.051,0.282,0.146,0.19,0.107,0.056,0.373,0.154
Hand_0000211.jpg,0.106,0.101,0.145,0.165,0.29,0.136,0.256,0.142
Hand_0000212.jpg,0.112,0.101,0.148,0.16,0.279,0.139,0.245,0.146
Hand_0000213.jpg,0.084,0.101,0.149,0.15,0.292,0.137,0.196,0.13
Hand_0000214.jpg,0.077,0.101,0.15,0.15,0.263,0.146,0.221,0.139
Hand_0000215.jpg,0.068,0.101,0.15,0.115,0.284,0.133,0.241,0.143
Hand_0000216.jpg,0.07,0.101,0.151,0.128,0.281,0.141,0.251,0.132
Hand_0000217.jpg,0.051,0.163,0.201,0.102,0.192,0.056,0.311,0.144
Hand_0000218.jpg,0.054,0.232,0.187,0.101,0.129,0.056,0.305,0.143
Hand_0000219.jpg,0.075,0.27,0.157,0.168,0.209,0.107,0.273,0.141
Hand_0000220.jpg,0.075,0.252,0.158,0.171,0.213,0.105,0.277,0.14
Hand_0000221.jpg,0.069,0.244,0.169,0.166,0.219,0.084,0.325,0.136
Hand_0000223.jpg,0.166,0.101,0.151,0.251,0.115,0.15,0.141,0.126
Hand_0000224.jpg,0.096,0.101,0.126,0.266,0.118,0.158,0.137,0.127
Hand_0000225.jpg,0.12,0.101,0.133,0.252,0.127,0.143,0.152,0.127
Hand_0000226.jpg,0.124,0.101,0.134,0.291,0.107,0.15,0.15,0.122
Hand_0000227.jpg,0.051,0.101,0.151,0.146,0.107,0.056,0.304,0.187
Hand_0000228.jpg,0.053,0.101,0.174,0.14,0.107,0.056,0.246,0.174
Hand_0000229.jpg,0.058,0.101,0.112,0.122,0.107,0.056,0.244,0.214
Hand_0000230.jpg,0.052,0.101,0.088,0.121,0.107,0.056,0.249,0.216
Hand_0000231.jpg,0.051,0.101,0.088,0.154,0.107,0.056,0.311,0.188
Hand_0000232.jpg,0.051,0.181,0.161,0.101,0.107,0.056,0.388,0.165
Hand_0000233.jpg,0.076,0.184,0.132,0.101,0.107,0.056,0.274,0.179
Hand_0000234.jpg,0.087,0.205,0.155,0.101,0.107,0.056,0.301,0.165
Hand_0000235.jpg,0.051,0.195,0.154,0.101,0.107,0.056,0.394,0.155
Hand_0000236.jpg,0.051,0.101,0.106,0.221,0.107,0.056,0.316,0.135
Hand_0000237.jpg,0.051,0.101,0.122,0.156,0.107,0.077,0.428,0.206
Hand_0000238.jpg,0.051,0.101,0.099,0.208,0.107,0.056,0.409,0.221
Hand_0000239.jpg,0.051,0.101,0.1,0.231,0.107,0.056,0.468,0.253
Hand_0000240.jpg,0.057,0.101,0.104,0.277,0.107,0.069,0.381,0.186
Hand_0000241.jpg,0.057,0.101,0.103,0.278,0.107,0.071,0.334,0.179
Hand_0000242.jpg,0.051,0.101,0.09,0.24,0.107,0.056,0.386,0.215
Hand_0000243.jpg,0.053,0.257,0.114,0.221,0.107,0.056,0.423,0.209
Hand_0000244.jpg,0.051,0.239,0.115,0.228,0.107,0.056,0.383,0.212
Hand_0000245.jpg,0.089,0.263,0.115,0.233,0.107,0.065,0.409,0.195
Hand_0000246.jpg,0.071,0.262,0.115,0.215,0.107,0.056,0.418,0.205
Hand_0000248.jpg,0.051,0.23,0.088,0.17,0.107,0.058,0.322,0.208
Hand_0000249.jpg,0.056,0.277,0.091,0.177,0.107,0.058,0.31,0.211
Hand_0000250.jpg,0.06,0.246,0.102,0.175,0.107,0.056,0.292,0.242
Hand_0000251.jpg,0.051,0.274,0.097,0.171,0.107,0.056,0.323,0.228
Hand_0000252.jpg,0.051,0.269,0.095,0.188,0.107,0.056,0.251,0.265
Hand_0000253.jpg,0.051,0.101,0.136,0.103,0.265,0.056,0.346,0.162
Hand_0000254.jpg,0.055,0.101,0.089,0.152,0.132,0.056,0.357,0.165
Hand_0000255.jpg,0.054,0.101,0.106,0.105,0.211,0.063,0.266,0.142
Hand_0000256.jpg,0.051,0.101,0.118,0.101,0.233,0.086,0.298,0.137
Hand_0000257.jpg,0.051,0.101,0.135,0.101,0.275,0.066,0.367,0.129
Hand_0000258.jpg,0.051,0.101,0.138,0.104,0.265,0.059,0.364,0.145
Hand_0000259.jpg,0.052,0.101,0.157,0.102,0.107,0.056,0.271,0.158
Hand_0000260.jpg,0.058,0.101,0.135,0.101,0.107,0.056,0.185,0.158
Hand_0000261.jpg,0.106,0.101,0.146,0.101,0.107,0.056,0.11,0.171
Hand_0000262.jpg,0.103,0.136,0.159,0.101,0.107,0.056,0.107,0.211
Hand_0000263.jpg,0.095,0.126,0.158,0.101,0.107,0.056,0.104,0.214
Hand_0000264.jpg,0.121,0.141,0.162,0.101,0.107,0.056,0.102,0.214
Hand_0000265.jpg,0.12,0.142,0.16,0.101,0.107,0.056,0.11,0.216
Hand_0000266.jpg,0.075,0.226,0.1,0.101,0.107,0.056,0.463,0.247
Hand_0000267.jpg,0.078,0.26,0.1,0.101,0.107,0.056,0.464,0.247
Hand_0000268.jpg,0.091,0.248,0.144,0.101,0.107,0.056,0.374,0.204
Hand_0000269.jpg,0.099,0.279,0.19,0.101,0.107,0.056,0.459,0.203
Hand_0000270.jpg,0.131,0.159,0.181,0.101,0.107,0.056,0.549,0.22
Hand_0000271.jpg,0.09,0.136,0.194,0.101,0.107,0.056,0.507,0.212
Hand_0000272.jpg,0.051,0.117,0.116,0.223,0.107,0.056,0.373,0.27
Hand_0000273.jpg,0.051,0.108,0.089,0.186,0.107,0.097,0.28,0.2
Hand_0000275.jpg,0.051,0.101,0.088,0.188,0.116,0.11,0.188,0.164
Hand_0000276.jpg,0.051,0.184,0.1,0.145,0.169,0.2,0.21,0.141
Hand_0000277.jpg,0.051,0.196,0.118,0.113,0.183,0.186,0.211,0.136
Hand_0000278.jpg,0.051,0.146,0.135,0.103,0.229,0.188,0.229,0.144
Hand_0000281.jpg,0.051,0.101,0.088,0.125,0.147,0.208,0.141,0.122
Hand_0000282.jpg,0.051,0.101,0.123,0.102,0.109,0.192,0.186,0.155
Hand_0000283.jpg,0.051,0.101,0.093,0.128,0.267,0.158,0.215,0.126
Hand_0000284.jpg,0.051,0.101,0.088,0.179,0.23,0.222,0.188,0.125
Hand_0000285.jpg,0.051,0.101,0.088,0.156,0.198,0.193,0.175,0.125
Hand_0000286.jpg,0.051,0.101,0.088,0.32,0.107,0.056,0.485,0.193
Hand_0000287.jpg,0.051,0.101,0.089,0.314,0.107,0.056,0.482,0.201
Hand_0000288.jpg,0.051,0.101,0.088,0.323,0.107,0.056,0.441,0.209
Hand_0000289.jpg,0.051,0.101,0.088,0.323,0.107,0.056,0.474,0.184
Hand_0000290.jpg,0.051,0.101,0.088,0.316,0.107,0.056,0.479,0.182
Hand_0000291.jpg,0.051,0.115,0.09,0.205,0.107,0.056,0.271,0.209
Hand_0000292.jpg,0.051,0.101,0.094,0.196,0.107,0.056,0.311,0.237
Hand_0000293.jpg,0.051,0.101,0.09,0.195,0.107,0.082,0.285,0.218
Hand_0000295.jpg,0.051,0.101,0.101,0.192,0.107,0.058,0.303,0.252
Hand_0000296.jpg,0.051,0.101,0.22,0.198,0.107,0.063,0.267,0.176
Hand_0000297.jpg,0.051,0.101,0.192,0.213,0.107,0.058,0.226,0.177
Hand_0000298.jpg,0.051,0.101,0.227,0.18,0.107,0.069,0.28,0.209
Hand_0000299.jpg,0.051,0.101,0.182,0.202,0.107,0.077,0.308,0.227
Hand_0000300.jpg,0.051,0.101,0.213,0.194,0.107,0.057,0.281,0.195
Hand_0000302.jpg,0.051,0.101,0.134,0.168,0.217,0.056,0.353,0.165
Hand_0000303.jpg,0.051,0.101,0.157,0.123,0.219,0.056,0.351,0.186
Hand_0000304.jpg,0.051,0.101,0.159,0.134,0.244,0.056,0.321,0.204
Hand_0000305.jpg,0.051,0.101,0.152,0.182,0.299,0.056,0.341,0.209
Hand_0000306.jpg,0.051,0.169,0.162,0.15,0.107,0.056,0.374,0.218
Hand_0000307.jpg,0.051,0.167,0.142,0.177,0.107,0.056,0.359,0.202
Hand_0000308.jpg,0.056,0.167,0.183,0.101,0.107,0.056,0.301,0.209
Hand_0000309.jpg,0.076,0.167,0.182,0.101,0.107,0.056,0.29,0.205
Hand_0000310.jpg,0.102,0.101,0.2,0.101,0.107,0.056,0.287,0.217
Hand_0000311.jpg,0.109,0.101,0.212,0.101,0.107,0.056,0.261,0.207
Hand_0000312.jpg,0.123,0.107,0.217,0.101,0.107,0.056,0.243,0.206
Hand_0000314.jpg,0.092,0.101,0.189,0.101,0.107,0.056,0.235,0.217
Hand_0000315.jpg,0.081,0.154,0.16,0.101,0.107,0.056,0.252,0.132
Hand_0000316.jpg,0.076,0.101,0.156,0.101,0.107,0.056,0.273,0.151
Hand_0000317.jpg,0.12,0.103,0.158,0.101,0.107,0.056,0.305,0.139
Hand_0000318.jpg,0.122,0.103,0.159,0.101,0.107,0.056,0.308,0.147
Hand_0000319.jpg,0.112,0.104,0.164,0.101,0.107,0.056,0.242,0.169
Hand_0000320.jpg,0.11,0.102,0.159,0.101,0.107,0.056,0.248,0.176
Hand_0000321.jpg,0.099,0.103,0.162,0.101,0.107,0.056,0.255,0.181
Hand_0000322.jpg,0.051,0.101,0.114,0.308,0.107,0.056,0.248,0.144
Hand_0000323.jpg,0.051,0.148,0.088,0.205,0.183,0.075,0.143,0.141
Hand_0000324.jpg,0.051,0.101,0.088,0.205,0.247,0.104,0.16,0.163
Hand_0000325.jpg,0.051,0.101,0.113,0.149,0.25,0.13,0.164,0.153
Hand_0000326.jpg,0.051,0.101,0.117,0.128,0.262,0.135,0.184,0.173
Hand_0000327.jpg,0.051,0.101,0.119,0.148,0.239,0.079,0.209,0.188
Hand_0000328.jpg,0.051,0.101,0.14,0.148,0.268,0.064,0.187,0.202
Hand_0000329.jpg,0.051,0.101,0.119,0.101,0.107,0.138,0.269,0.126
Hand_0000330.jpg,0.051,0.101,0.102,0.101,0.121,0.17,0.266,0.129
Hand_0000331.jpg,0.051,0.101,0.137,0.242,0.285,0.116,0.198,0.128
Hand_0000332.jpg,0.121,0.101,0.203,0.303,0.107,0.11,0.077,0.119
Hand_0000333.jpg,0.051,0.101,0.177,0.26,0.158,0.09,0.133,0.117
Hand_0000345.jpg,0.051,0.101,0.135,0.101,0.203,0.072,0.198,0.117
Hand_0000346.jpg,0.051,0.101,0.152,0.101,0.225,0.092,0.221,0.124
Hand_0000347.jpg,0.051,0.101,0.154,0.109,0.229,0.108,0.234,0.126
Hand_0000348.jpg,0.051,0.101,0.154,0.108,0.242,0.112,0.212,0.125
Hand_0000349.jpg,0.051,0.101,0.15,0.101,0.208,0.164,0.231,0.127
Hand_0000350.jpg,0.051,0.101,0.149,0.101,0.206,0.169,0.215,0.126
Hand_0000351.jpg,0.051,0.101,0.135,0.101,0.167,0.149,0.2,0.125
Hand_0000372.jpg,0.051,0.101,0.156,0.39,0.13,0.09,0.255,0.219
Hand_0000373.jpg,0.051,0.101,0.162,0.276,0.109,0.08,0.265,0.239
Hand_0000374.jpg,0.051,0.101,0.192,0.187,0.107,0.065,0.294,0.252
Hand_0000375.jpg,0.051,0.101,0.239,0.175,0.107,0.056,0.306,0.226
Hand_0000376.jpg,0.051,0.101,0.24,0.173,0.107,0.056,0.273,0.223
Hand_0000377.jpg,0.051,0.101,0.231,0.145,0.107,0.056,0.228,0.227
Hand_0000378.jpg,0.051,0.101,0.23,0.175,0.107,0.056,0.239,0.232
Hand_0000381.jpg,0.051,0.101,0.108,0.13,0.253,0.095,0.263,0.124
Hand_0000382.jpg,0.051,0.101,0.093,0.184,0.252,0.13,0.268,0.129
Hand_0000383.jpg,0.051,0.101,0.094,0.104,0.262,0.15,0.266,0.129
Hand_0000384.jpg,0.051,0.101,0.088,0.114,0.223,0.139,0.24,0.127
Hand_0000385.jpg,0.051,0.101,0.114,0.179,0.107,0.059,0.293,0.193
Hand_0000386.jpg,0.051,0.104,0.11,0.101,0.107,0.056,0.316,0.184
Hand_0000387.jpg,0.051,0.101,0.089,0.101,0.107,0.056,0.338,0.223
Hand_0000388.jpg,0.08,0.142,0.095,0.101,0.107,0.056,0.263,0.185
Hand_0000389.jpg,0.103,0.19,0.132,0.101,0.107,0.056,0.208,0.161
Hand_0000390.jpg,0.051,0.101,0.088,0.188,0.107,0.056,0.381,0.197
Hand_0000391.jpg,0.051,0.101,0.156,0.152,0.107,0.056,0.358,0.186
Hand_0000392.jpg,0.051,0.101,0.14,0.144,0.107,0.056,0.338,0.23
Hand_0000393.jpg,0.051,0.101,0.135,0.101,0.107,0.056,0.338,0.235
Hand_0000394.jpg,0.051,0.101,0.137,0.101,0.107,0.056,0.362,0.231
Hand_0000395.jpg,0.051,0.101,0.128,0.101,0.107,0.056,0.367,0.221
Hand_0000396.jpg,0.057,0.109,0.14,0.101,0.107,0.056,0.347,0.211
Hand_0000397.jpg,0.051,0.101,0.165,0.228,0.121,0.056,0.31,0.209
Hand_0000398.jpg,0.051,0.101,0.173,0.311,0.153,0.056,0.366,0.207
Hand_0000399.jpg,0.051,0.101,0.183,0.327,0.166,0.056,0.359,0.214
Hand_0000400.jpg,0.051,0.101,0.184,0.341,0.172,0.06,0.337,0.212
Hand_0000401.jpg,0.051,0.101,0.182,0.365,0.175,0.056,0.398,0.214
Hand_0000402.jpg,0.051,0.101,0.181,0.358,0.183,0.056,0.408,0.212
Hand_0000403.jpg,0.051,0.101,0.181,0.387,0.183,0.056,0.393,0.216
